Point,Test,Output,Spec,Weight,Pass/Fail,Min,Max,MC
79,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.39E-07,-1.39E-07,-1.39E-07
31,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.39E-07,-1.39E-07,-1.39E-07
467,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.41E-07,-1.41E-07,-1.41E-07
83,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.43E-07,-1.43E-07,-1.43E-07
500,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.43E-07,-1.43E-07,-1.43E-07
313,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.44E-07,-1.44E-07,-1.44E-07
480,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.45E-07,-1.45E-07,-1.45E-07
292,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.46E-07,-1.46E-07,-1.46E-07
408,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.48E-07,-1.48E-07,-1.48E-07
295,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.49E-07,-1.49E-07,-1.49E-07
349,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.49E-07,-1.49E-07,-1.49E-07
170,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.49E-07,-1.49E-07,-1.49E-07
369,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.50E-07,-1.50E-07,-1.50E-07
270,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.62E-07,-1.62E-07,-1.62E-07
18,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.64E-07,-1.64E-07,-1.64E-07
277,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.64E-07,-1.64E-07,-1.64E-07
229,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.65E-07,-1.65E-07,-1.65E-07
318,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.66E-07,-1.66E-07,-1.66E-07
209,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.67E-07,-1.67E-07,-1.67E-07
67,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.67E-07,-1.67E-07,-1.67E-07
348,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.70E-07,-1.70E-07,-1.70E-07
38,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.71E-07,-1.71E-07,-1.71E-07
339,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.73E-07,-1.73E-07,-1.73E-07
231,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.74E-07,-1.74E-07,-1.74E-07
151,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.76E-07,-1.76E-07,-1.76E-07
203,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.78E-07,-1.78E-07,-1.78E-07
299,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.78E-07,-1.78E-07,-1.78E-07
252,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.83E-07,-1.83E-07,-1.83E-07
373,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.85E-07,-1.85E-07,-1.85E-07
5,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.90E-07,-1.90E-07,-1.90E-07
201,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.91E-07,-1.91E-07,-1.91E-07
417,AFE513:PGA_R_FB_TB_1:1,"average(((VT(""/VON"") - VT(""/VOP"")) / 32))",,,,-1.99E-07,-1.99E-07,-1.99E-07
